"[1, 1, 1, 1, 6]","[3.346757945958387, 0.04352333657274983, 0.060930923890171525, 0.045733007255636345]"
"[8, 1, 1, 1, 5]","[1.1565072468674036, 0.0, 0.0, 0.0]"
"[4, 1, 1, 1, 5]","[12.818121244189378, 0.0, 0.0, 0.0]"
"[4, 1, 1, 1, 4]","[17.185848432503157, 0.0, 0.0, 0.0]"
"[0, 1, 1, 1, 4]","[4.374439845138801, 0.0, 0.0, 0.0]"
"[0, 1, 1, 1, 5]","[21.80839017236289, 0.0, 0.0, 0.0]"
"[4, 1, 1, 1, 3]","[9.4340445926546, 0.0, 0.0, 0.0]"
"[3, 1, 1, 1, 5]","[14.724166908359155, 0.0, 0.0, 0.0]"
"[3, 1, 1, 1, 4]","[14.507460696169517, 0.0, 0.0, 0.0]"
"[3, 1, 1, 1, 6]","[0.0, 0.1153833253665942, 0.11972899052916455, 2.772591994869818]"
"[3, 1, 1, 1, 3]","[13.611647455127493, 0.0, 0.0, 0.0]"
"[3, 1, 1, 1, 2]","[29.136194604920536, 0.0, 0.0, 0.0]"
"[5, 1, 1, 1, 6]","[0.0, 0.2922429553254479, 51.47629435995336, 0.025508406665261548]"
"[5, 1, 1, 8, 5]","[0.0, 0.0, 0.0, 8.102476719823247]"
"[5, 1, 1, 4, 1]","[0.0, 0.0, 0.0, -2.9693967839158617]"
"[5, 1, 1, 4, 4]","[0.0, 0.0, 0.0, 25.500194778154917]"
"[5, 1, 1, 0, 2]","[0.0, 0.0, 0.0, 46.45249100740261]"
"[5, 1, 1, 0, 1]","[0.0, 0.0, 0.0, 35.36920494811186]"
"[5, 1, 1, 0, 4]","[0.0, 0.0, 0.0, 11.852911631057443]"
"[5, 1, 1, 7, 3]","[0.0, 0.0, 0.0, 22.33073536247489]"
"[5, 1, 1, 5, 6]","[0.0, 2.5337607998888254, 2.7521134424792293, 0.0]"
"[5, 1, 8, 5, 2]","[0.0, 0.0, 4.237703700143116, 0.0]"
"[5, 1, 4, 5, 4]","[0.0, 0.0, 9.2449037710465, 0.0]"
"[5, 1, 4, 5, 1]","[0.0, 0.0, 5.422656869786525, 0.0]"
"[5, 1, 4, 5, 6]","[0.0, 50.260475809474585, 35.70172139505745, 0.0]"
"[5, 1, 0, 5, 2]","[0.0, 0.0, 19.499837281870292, 0.0]"
"[5, 1, 0, 5, 4]","[0.0, 0.0, 41.039761968604026, 0.0]"
"[5, 1, 7, 5, 3]","[0.0, 0.0, 27.435745555015608, 0.0]"
"[5, 1, 8, 5, 4]","[0.0, 0.0, 1.3069427904618753, 0.0]"
"[5, 1, 0, 5, 6]","[0.0, 52.142058425865166, 34.46157524805729, 0.0]"
